"","lakeid","year","ice_duration"
"175","Lake Monona",1863,131
"176","Lake Monona",1864,117
"177","Lake Monona",1865,125
"178","Lake Monona",1866,128
"179","Lake Monona",1867,108
"180","Lake Monona",1868,126
"181","Lake Monona",1869,138
"182","Lake Monona",1870,100
"183","Lake Monona",1871,142
"184","Lake Monona",1872,141
"185","Lake Monona",1873,136
"186","Lake Monona",1874,123
"187","Lake Monona",1875,91
"188","Lake Monona",1876,132
"189","Lake Monona",1877,62
"190","Lake Monona",1878,115
"191","Lake Monona",1879,93
"192","Lake Monona",1880,160
"193","Lake Monona",1881,77
"194","Lake Monona",1882,127
"195","Lake Monona",1883,120
"196","Lake Monona",1884,121
"197","Lake Monona",1885,131
"198","Lake Monona",1886,131
"199","Lake Monona",1887,137
"200","Lake Monona",1888,87
"201","Lake Monona",1889,74
"202","Lake Monona",1890,113
"203","Lake Monona",1891,96
"204","Lake Monona",1892,117
"205","Lake Monona",1893,99
"206","Lake Monona",1894,104
"207","Lake Monona",1895,119
"208","Lake Monona",1896,123
"209","Lake Monona",1897,101
"210","Lake Monona",1898,129
"211","Lake Monona",1899,112
"212","Lake Monona",1900,118
"213","Lake Monona",1901,103
"214","Lake Monona",1902,85
"215","Lake Monona",1903,140
"216","Lake Monona",1904,111
"217","Lake Monona",1905,115
"218","Lake Monona",1906,106
"219","Lake Monona",1907,106
"220","Lake Monona",1908,118
"221","Lake Monona",1909,96
"222","Lake Monona",1910,103
"223","Lake Monona",1911,113
"224","Lake Monona",1912,104
"225","Lake Monona",1913,83
"226","Lake Monona",1914,115
"227","Lake Monona",1915,111
"228","Lake Monona",1916,116
"229","Lake Monona",1917,116
"230","Lake Monona",1918,83
"231","Lake Monona",1919,116
"232","Lake Monona",1920,85
"233","Lake Monona",1921,96
"234","Lake Monona",1922,127
"235","Lake Monona",1923,103
"236","Lake Monona",1924,103
"237","Lake Monona",1925,126
"238","Lake Monona",1926,102
"239","Lake Monona",1927,108
"240","Lake Monona",1928,96
"241","Lake Monona",1929,104
"242","Lake Monona",1930,98
"243","Lake Monona",1931,60
"244","Lake Monona",1932,107
"245","Lake Monona",1933,103
"246","Lake Monona",1934,98
"247","Lake Monona",1935,107
"248","Lake Monona",1936,123
"249","Lake Monona",1937,111
"250","Lake Monona",1938,102
"251","Lake Monona",1939,102
"252","Lake Monona",1940,127
"253","Lake Monona",1941,85
"254","Lake Monona",1942,114
"255","Lake Monona",1943,101
"256","Lake Monona",1944,89
"257","Lake Monona",1945,99
"258","Lake Monona",1946,108
"259","Lake Monona",1947,108
"260","Lake Monona",1948,92
"261","Lake Monona",1949,113
"262","Lake Monona",1950,118
"263","Lake Monona",1951,112
"264","Lake Monona",1952,93
"265","Lake Monona",1953,72
"266","Lake Monona",1954,83
"267","Lake Monona",1955,109
"268","Lake Monona",1956,92
"269","Lake Monona",1957,109
"270","Lake Monona",1958,125
"271","Lake Monona",1959,101
"272","Lake Monona",1960,98
"273","Lake Monona",1961,113
"274","Lake Monona",1962,112
"275","Lake Monona",1963,92
"276","Lake Monona",1964,114
"277","Lake Monona",1965,65
"278","Lake Monona",1966,88
"279","Lake Monona",1967,87
"280","Lake Monona",1968,101
"281","Lake Monona",1969,92
"282","Lake Monona",1970,93
"283","Lake Monona",1971,95
"284","Lake Monona",1972,90
"285","Lake Monona",1973,94
"286","Lake Monona",1974,95
"287","Lake Monona",1975,90
"288","Lake Monona",1976,103
"289","Lake Monona",1977,121
"290","Lake Monona",1978,117
"291","Lake Monona",1979,104
"292","Lake Monona",1980,86
"293","Lake Monona",1981,100
"294","Lake Monona",1982,56
"295","Lake Monona",1983,107
"296","Lake Monona",1984,92
"297","Lake Monona",1985,113
"298","Lake Monona",1986,85
"299","Lake Monona",1987,91
"300","Lake Monona",1988,93
"301","Lake Monona",1989,98
"302","Lake Monona",1990,88
"303","Lake Monona",1991,91
"304","Lake Monona",1992,108
"305","Lake Monona",1993,95
"306","Lake Monona",1994,85
"307","Lake Monona",1995,107
"308","Lake Monona",1996,96
"309","Lake Monona",1997,47
"310","Lake Monona",1998,70
"311","Lake Monona",1999,52
"312","Lake Monona",2000,108
"313","Lake Monona",2001,56
"314","Lake Monona",2002,83
"315","Lake Monona",2003,75
"316","Lake Monona",2004,97
"317","Lake Monona",2005,94
"318","Lake Monona",2006,67
"319","Lake Monona",2007,122
"320","Lake Monona",2008,98
"321","Lake Monona",2009,88
"322","Lake Monona",2010,116
"323","Lake Monona",2011,69
"324","Lake Monona",2012,101
"325","Lake Monona",2013,121
"326","Lake Monona",2014,105
"327","Lake Monona",2015,62
"328","Lake Monona",2016,81
"329","Lake Monona",2017,93
"330","Lake Monona",2018,97
"331","Lake Monona",2019,80
